name,productId,console,pc,category,storePath,newSinceDate
Teamfight Tactics,9N464X6CT772,false,true,Essential,-/9N464X6CT772,
Terminull Brigade™,9MW1V43D3VZN,true,true,Essential,-/9MW1V43D3VZN,
The Bard's Tale Trilogy,9MVN4ND41DD3,true,true,Essential,-/9MVN4ND41DD3,
The Elder Scrolls Online: Standard Edition,BRKX5CRMRTC2,true,true,Essential,-/BRKX5CRMRTC2,
THE FINALS,9PGD71CMDS0Z,true,true,Essential,-/9PGD71CMDS0Z,
The First Descendant,9P8FBXKMCLWC,true,true,Essential,-/9P8FBXKMCLWC,
Totally Reliable Delivery Service,9NZG72SH3H4W,true,true,Essential,-/9NZG72SH3H4W,
TUNIC,9NLRT31Z4RWM,true,true,Essential,-/9NLRT31Z4RWM,
VALORANT,9N1NLJK9SKRN,true,false,Essential,-/9N1NLJK9SKRN,
VALORANT PC,9NKCCHCFTHV2,false,true,Essential,-/9NKCCHCFTHV2,
Vampire Survivors,9PD5BM2Z8C4L,true,true,Essential,-/9PD5BM2Z8C4L,
War Thunder,BX1DTCBD1HXJ,true,true,Essential,-/BX1DTCBD1HXJ,
"Warhammer 40,000: Darktide",9NT3WC6RKBVQ,true,true,Essential,-/9NT3WC6RKBVQ,
Warhammer: Vermintide 2,BXZWT67JBZJH,true,false,Essential,-/BXZWT67JBZJH,
Where Winds Meet,9N76QGDS5GJR,true,true,Essential,-/9N76QGDS5GJR,
World of Tanks Modern Armor,C57L9GR0HHB7,true,false,Essential,-/C57L9GR0HHB7,
World of Tanks: HEAT,9N11JM7F5CXK,true,true,Essential,-/9N11JM7F5CXK,
World of Warships,9NK9K07FDPJV,false,true,Essential,-/9NK9K07FDPJV,
World of Warships: Legends,C1ZT6N30L1WH,true,true,Essential,-/C1ZT6N30L1WH,
World War Z: Aftermath,9PLCL2VB2SC0,true,true,Essential,-/9PLCL2VB2SC0,
Wreckfest,BRJNRZ9N734V,true,true,Essential,-/BRJNRZ9N734V,
Wuthering Waves,9P41GS5W1C6L,true,true,Essential,-/9P41GS5W1C6L,
Zenless Zone Zero,9N4X0WFZ2STM,true,false,Essential,-/9N4X0WFZ2STM,
